Ticker;Capital;Porcentagens;Contagem_total;Contagem_acerto;Contagem_erro;Intervalo;Tamanho_take;hora
BTC-USD;1000.95;36.93;241;89;152;15m;2;2025-10-07 21:10:37
BTC-USD;1001.78;35.06;231;81;150;15m;2.5;2025-10-07 21:10:39
BTC-USD;1001.43;29.96;227;68;159;15m;3;2025-10-07 21:10:41
BTC-USD;1000.51;22.48;218;49;169;15m;4;2025-10-07 21:10:43
BTC-USD;1005.85;35.18;685;241;444;1h;2;2025-10-07 21:10:49
BTC-USD;1000.47;29.54;633;187;446;1h;2.5;2025-10-07 21:10:55
BTC-USD;1006.5;27.76;598;166;432;1h;3;2025-10-07 21:11:01
BTC-USD;999.3;20.69;551;114;437;1h;4;2025-10-07 21:11:07
BTC-USD;1005.71;46.67;30;14;16;1d;2;2025-10-07 21:11:08
BTC-USD;1004.93;37.93;29;11;18;1d;2.5;2025-10-07 21:11:08
BTC-USD;1006.44;37.04;27;10;17;1d;3;2025-10-07 21:11:09
BTC-USD;994.99;23.81;21;5;16;1d;4;2025-10-07 21:11:09
A1MD34.SA;999.6;29.41;51;15;36;15m;2;2025-10-07 21:11:10
A1MD34.SA;997.86;21.28;47;10;37;15m;2.5;2025-10-07 21:11:10
A1MD34.SA;997.77;19.15;47;9;38;15m;3;2025-10-07 21:11:10
A1MD34.SA;998.47;15.91;44;7;37;15m;4;2025-10-07 21:11:11
A1MD34.SA;1005.37;38.12;160;61;99;1h;2;2025-10-07 21:11:12
A1MD34.SA;1003.28;31.33;150;47;103;1h;2.5;2025-10-07 21:11:14
A1MD34.SA;1005.55;27.81;151;42;109;1h;3;2025-10-07 21:11:15
A1MD34.SA;1000.85;20.71;140;29;111;1h;4;2025-10-07 21:11:16
A1MD34.SA;998.62;37.5;16;6;10;1d;2;2025-10-07 21:11:16
A1MD34.SA;1000.66;37.5;16;6;10;1d;2.5;2025-10-07 21:11:16
A1MD34.SA;1002.7;37.5;16;6;10;1d;3;2025-10-07 21:11:17
A1MD34.SA;999.77;25.0;16;4;12;1d;4;2025-10-07 21:11:17
AAPL34.SA;1000.45;34.88;43;15;28;15m;2;2025-10-07 21:11:17
AAPL34.SA;999.44;27.03;37;10;27;15m;2.5;2025-10-07 21:11:18
AAPL34.SA;999.7;26.32;38;10;28;15m;3;2025-10-07 21:11:18
AAPL34.SA;999.8;21.88;32;7;25;15m;4;2025-10-07 21:11:18
AAPL34.SA;991.7;28.06;139;39;100;1h;2;2025-10-07 21:11:20
AAPL34.SA;992.02;22.73;132;30;102;1h;2.5;2025-10-07 21:11:21
AAPL34.SA;989.6;18.75;128;24;104;1h;3;2025-10-07 21:11:22
AAPL34.SA;989.73;15.45;123;19;104;1h;4;2025-10-07 21:11:23
AAPL34.SA;996.4;28.57;21;6;15;1d;2;2025-10-07 21:11:24
AAPL34.SA;997.53;28.57;21;6;15;1d;2.5;2025-10-07 21:11:24
AAPL34.SA;996.92;25.0;20;5;15;1d;3;2025-10-07 21:11:24
AAPL34.SA;997.34;21.05;19;4;15;1d;4;2025-10-07 21:11:24
ABCB4.SA;999.9;31.43;35;11;24;15m;2;2025-10-07 21:11:25
ABCB4.SA;1000.15;25.0;28;7;21;15m;2.5;2025-10-07 21:11:25
ABCB4.SA;1000.0;24.0;25;6;19;15m;3;2025-10-07 21:11:26
ABCB4.SA;999.68;17.39;23;4;19;15m;4;2025-10-07 21:11:26
ABCB4.SA;997.03;28.36;134;38;96;1h;2;2025-10-07 21:11:27
ABCB4.SA;996.24;23.66;131;31;100;1h;2.5;2025-10-07 21:11:29
ABCB4.SA;995.99;19.83;121;24;97;1h;3;2025-10-07 21:11:30
ABCB4.SA;995.03;15.38;117;18;99;1h;4;2025-10-07 21:11:31
ABCB4.SA;996.84;23.81;21;5;16;1d;2;2025-10-07 21:11:31
ABCB4.SA;997.91;23.81;21;5;16;1d;2.5;2025-10-07 21:11:31
ABCB4.SA;996.29;15.0;20;3;17;1d;3;2025-10-07 21:11:31
ABCB4.SA;997.88;15.79;19;3;16;1d;4;2025-10-07 21:11:32
ABEV3.SA;998.95;13.04;23;3;20;15m;2;2025-10-07 21:11:32
ABEV3.SA;999.08;13.04;23;3;20;15m;2.5;2025-10-07 21:11:33
ABEV3.SA;999.08;9.09;22;2;20;15m;3;2025-10-07 21:11:33
ABEV3.SA;999.39;9.52;21;2;19;15m;4;2025-10-07 21:11:34
ABEV3.SA;999.34;33.33;108;36;72;1h;2;2025-10-07 21:11:35
ABEV3.SA;996.98;25.96;104;27;77;1h;2.5;2025-10-07 21:11:36
ABEV3.SA;994.83;19.61;102;20;82;1h;3;2025-10-07 21:11:37
ABEV3.SA;991.15;11.46;96;11;85;1h;4;2025-10-07 21:11:39
ABEV3.SA;999.7;28.57;21;6;15;1d;2;2025-10-07 21:11:39
ABEV3.SA;1003.57;38.89;18;7;11;1d;2.5;2025-10-07 21:11:39
ABEV3.SA;1001.61;28.57;14;4;10;1d;3;2025-10-07 21:11:39
ABEV3.SA;1000.88;25.0;12;3;9;1d;4;2025-10-07 21:11:40
AERI3.SA;1001.54;25.0;8;2;6;15m;2;2025-10-07 21:11:40
AERI3.SA;999.74;25.0;8;2;6;15m;2.5;2025-10-07 21:11:41
AERI3.SA;999.81;25.0;8;2;6;15m;3;2025-10-07 21:11:41
AERI3.SA;999.92;25.0;8;2;6;15m;4;2025-10-07 21:11:41
AERI3.SA;999.32;34.07;135;46;89;1h;2;2025-10-07 21:11:43
AERI3.SA;1001.43;27.61;134;37;97;1h;2.5;2025-10-07 21:11:44
AERI3.SA;1004.29;25.71;105;27;78;1h;3;2025-10-07 21:11:45
AERI3.SA;1012.39;23.47;98;23;75;1h;4;2025-10-07 21:11:46
AERI3.SA;983.8;24.14;29;7;22;1d;2;2025-10-07 21:11:47
AERI3.SA;986.16;25.0;16;4;12;1d;2.5;2025-10-07 21:11:47
AERI3.SA;987.2;26.67;15;4;11;1d;3;2025-10-07 21:11:47
AERI3.SA;987.86;21.43;14;3;11;1d;4;2025-10-07 21:11:47
AGFS.SA;998.27;36.11;36;13;23;15m;2;2025-10-07 21:11:48
AGFS.SA;1000.54;32.35;34;11;23;15m;2.5;2025-10-07 21:11:48
AGFS.SA;1000.66;31.25;32;10;22;15m;3;2025-10-07 21:11:48
AGFS.SA;1001.1;30.77;26;8;18;15m;4;2025-10-07 21:11:49
AGFS.SA;998.99;32.5;160;52;108;1h;2;2025-10-07 21:11:50
AGFS.SA;998.28;26.11;157;41;116;1h;2.5;2025-10-07 21:11:51
AGFS.SA;1000.25;25.83;151;39;112;1h;3;2025-10-07 21:11:52
AGFS.SA;1000.35;20.74;135;28;107;1h;4;2025-10-07 21:11:53
AGFS.SA;1000;0;0;0;0;1d;2;2025-10-07 21:11:54
